Date,AAPL close,AAPL signal,Cash,AAPL shorted,AAPL bought,AAPL cash,AAPL sold,Daily_Ret
2000-09-21,1.0122767686843872,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-09-22,0.9319196343421936,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-09-25,0.9553571343421936,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-09-26,0.9185267686843872,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-09-27,0.8738839030265808,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-09-28,0.9553571343421936,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-09-29,0.4598214328289032,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-10-02,0.4330357015132904,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-10-03,0.3984375,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-10-04,0.421875,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-10-05,0.3939732015132904,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-10-06,0.3962053656578064,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-10-09,0.3883928656578064,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-10-10,0.3727678656578064,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-10-11,0.3504464328289032,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-10-12,0.3571428656578064,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-10-13,0.3939732015132904,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-10-16,0.3839285671710968,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-10-17,0.359375,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-10-18,0.359375,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-10-19,0.3381696343421936,1,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-10-20,0.3482142984867096,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-10-23,0.3638392984867096,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-10-24,0.3370535671710968,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-10-25,0.3303571343421936,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-10-26,0.3303571343421936,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-10-27,0.3314732015132904,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-10-30,0.3448660671710968,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-10-31,0.3493303656578064,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-11-01,0.3660714328289032,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-11-02,0.3984375,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-11-03,0.3973214328289032,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-11-06,0.3828125,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-11-07,0.3805803656578064,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-11-08,0.3582589328289032,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-11-09,0.3604910671710968,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-11-10,0.3404017984867096,0,20624.01216534627,0,0,20624.01216534627,0,0.0
